asiabelfiore@AsiaB-MacPro high-cov % bcftools stats ALL.chr22.phase3_shapeit2_mvncall_integrated_v5b.20130502.genotypes.vcf.gz
# This file was produced by bcftools stats (1.22+htslib-1.22.1) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  ALL.chr22.phase3_shapeit2_mvncall_integrated_v5b.20130502.genotypes.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	ALL.chr22.phase3_shapeit2_mvncall_integrated_v5b.20130502.genotypes.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	2504
SN	0	number of records:	1103547
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1060388
SN	0	number of MNPs:	0
SN	0	number of indels:	43230
SN	0	number of others:	801
SN	0	number of multiallelic sites:	6348
SN	0	number of multiallelic SNP sites:	4063
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)[8]ts/tv (1st ALT)
TSTV	0	750034	314468	2.39	748202	311941	2.40
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transition[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	453496	315387	138109	79	0	0	79
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	579997	406752	173245	331	0	0	331
AF	0	0.000399	93481	67217	26264	6433	0	0	6433
AF	0	0.000799	45103	32004	13099	3221	0	0	3221
AF	0	0.001198	28463	20283	8180	2050	0	0	2050
AF	0	0.001597	21527	15275	6252	1522	0	0	1522
AF	0	0.001997	16392	11614	4778	1187	0	0	1187
AF	0	0.002396	12855	9123	3732	894	0	0	894
AF	0	0.002796	10987	7850	3137	798	0	0	798
AF	0	0.003195	9401	6619	2782	689	0	0	689
AF	0	0.003594	8306	5861	2445	646	0	0	646
AF	0	0.003994	7460	5298	2162	557	0	0	557
AF	0	0.004393	6336	4531	1805	492	0	0	492
AF	0	0.004792	5757	4031	1726	422	0	0	422
AF	0	0.005192	5469	3860	1609	420	0	0	420
AF	0	0.005591	4934	3444	1490	368	0	0	368
AF	0	0.005990	4422	3093	1329	347	0	0	347
AF	0	0.006390	4105	2847	1258	339	0	0	339
AF	0	0.006789	3991	2852	1139	330	0	0	330
AF	0	0.007188	3686	2578	1108	355	0	0	355
AF	0	0.007588	3365	2353	1012	259	0	0	259
AF	0	0.007987	2894	2002	892	273	0	0	273
AF	0	0.008387	2925	2050	875	244	0	0	244
AF	0	0.008786	2835	2050	785	235	0	0	235
AF	0	0.009185	2817	1994	823	231	0	0	231
AF	0	0.009585	2552	1835	717	196	0	0	196
AF	0	0.009984	2320	1655	665	204	0	0	204
AF	0	0.010383	2247	1572	675	191	0	0	191
AF	0	0.010783	2109	1492	617	167	0	0	167
AF	0	0.011182	2121	1482	639	154	0	0	154
AF	0	0.011581	1786	1242	544	139	0	0	139
AF	0	0.011981	1795	1193	602	162	0	0	162
AF	0	0.012380	1783	1244	539	145	0	0	145
AF	0	0.012780	1759	1253	506	140	0	0	140
AF	0	0.013179	1806	1288	518	161	0	0	161
AF	0	0.013578	1768	1267	501	152	0	0	152
AF	0	0.013978	1520	1087	433	140	0	0	140
